หายใจ	หายใจเข้าออก
ปล่อยโฮ	ร่ำไห้	ร้องไห้โฮ
น้ำตาคลอ	น้ำตาคลอหน่วย	น้ำตาคลอเบ้า	น้ำตาไหล
ข้างหน้า	ตรงไป
ร้องไห้สะอึกสะอื้น	สะอื้นไห้
เหงื่อซึม	เหงื่อออก	เหงื่อแตก	เหงื่อไหล	เหงื่อไหลไคลย้อย
การยอม	การยอมแพ้
ซึม	ซึมออกมา	ไหลซึม	ไหลซึมออก
ไป	ไปยัง
ท่วม	โชก
ทำร้าย	ทำให้ร่างกายบาดเจ็บ	ทำให้เกิดบาดแผล
การทำให้เอียง	การเอียง
กระทืบ	ตื้บ	ทืบ
ตามอำเภอใจ	อย่างสุ่ม	อย่างสุ่มเดา
ทำให้ป่วย	ทำให้เจ็บป่วย	ทำให้ไม่สบาย
ทรมาน	ทำให้ทนทุกข์ทรมาน
ฉี่	ถ่ายปัสสาวะ	ถ่ายเบา	ปัสสาวะ	ยิงกระต่าย	เด็ดดอกไม้	เยี่ยว
ฉี่	ถ่ายปัสสาวะ	ปัสสาวะ
ฉี่	ถ่ายปัสสาวะ	ปัสสาวะ
ขับ	ขับของเสีย	ขับถ่าย
จวนเจียน	เกือบ
ดูด	ดูดออก
ถ่ายท้อง	ระบาย
ส่วนใหญ่	เป็นหลัก
ขับถ่าย	ขี้	ถ่าย	ถ่ายทุกข์	ถ่ายท้อง	ถ่ายหนัก	ถ่ายอุจจาระ	ปลดทุกข์	อึ	อุจจาระ
การมองข้าม	การละเลย	การไม่สังเกต
ทางธรรมชาติ	เป็นธรรมชาติ
ท้องผูกมาก	ท้องผูกรุนแรง
การทำผิดพลาด	ความผิดที่น่าอับอาย
ตกเลือด	เลือดตกยางออก	เลือดออก	เลือดไหล
เหนื่อย	เหน็ดเหนื่อย
กะปลกกะเปลี้ย	หมดกำลัง	หมดพลัง	หมดเรี่ยวหมดแรง	หมดเรี่ยวแรง	หมดแรง	อ่อนล้า	อ่อนเปลี้ย	เหนื่อยล้า
เหนื่อยกายเหนื่อยใจ	เหนื่อยทั้งกายและใจ
กรอบ	ล้า	เหนื่อยล้ามาก
เซ็ง	เบื่อ	เบื่อหน่าย
คายออก	ราก	รากแตก	อาเจียน	อ้วก
ปล่อยออก	พ่น
คลื่นเหียน	คลื่นไส้
ขาดอากาศหายใจ	หายใจไม่ออก
การติดเชื้อ	การติดโรค	การรับเชื้อ	การได้รับเชื้อ
ป่วย	ไม่สบาย
บำบัด	รักษา	เยียวยา	ให้การรักษา
การซื้อคืน	การไถ่ถอน
การซื้อขาย	เทรดดิ้ง
การซื้อขายหลักทรัพย์	การซื้อขายหุ้น
พ่นเข้าไป	รักษาโดยการพ่นเข้าร่างกาย
ดีท็อกซ์	ล้างพิษ
ข้างต้น	ด้านบน
ต่ำกว่า	ใต้
ข้างบน	เหนือ
ตรวจโรคสัตว์	รักษาสัตว์
อย่างดูถูก	อย่างดูถูกเหยียดหยาม	อย่างหยาบคาย
พยาบาล	รักษาพยาบาล
อย่างบ้าคลั่ง	อย่างวิกลจริต
นวด	รักษาด้วยการนวด	รักษาด้วยมือ
ซึ่งกลัวคนต่างชาติ	ซึ่งหวาดกลัวชาวต่างชาติ
ทุกสัปดาห์	ทุกอาทิตย์	รายสัปดาห์
ทุกปี	รายปี
การจับจ่าย	การช็อปปิ้ง
ซอกแซก	อย่างอยากรู้อยากเห็น
อย่างหลอกลวง	ในทางที่ผิด
ทำให้ดีขึ้น	บรรเทา
พันผ้าพันแผล	รักษาแผล
อย่างงุนงง	อย่างมึนงง
พอก	พอกยา
ผูก	พัน	พันผ้าก็อต	พันผ้าพันแผล	พันแผล	มัด
ผูก	มัด	รัด
พันผ้ายืด	รัดข้อด้วยแถบผ้า
เข้าเฝือก	ใส่เฝือก
อย่างอาศัยการสังเกต	เชิงประจักษ์
เป็นพิเศษ	โดยเฉพาะอย่างยิ่ง
รักษาด้วยยา	ใช้ยารักษา	ให้ยารักษา
ใช้ยา	ให้ยา
อย่างยุ่งยาก	อย่างสลับซับซ้อน
โด๊ป	โด๊ปยา	ใช้สารกระุตุ้น
เสพยาเกินขนาด	ใช้ยาเกินขนาด	ได้รับยาเกินขนาด
ให้ยาเสพย์ติด	ให้สารเสพย์ติด	ให้สิ่งเสพย์ติด
อย่างขบขัน	อย่างทะลึ่ง
อย่างรวดเร็ว	โดยด่วน
การอายัด	การอายัดทรัพย์สิน
ทายา	ทายาทาแผล	ทาแผล	ใช้ยาทาแผล
อย่างเด็ดขาด	อย่างไม่มีเงื่อนไข
ชั่วนิจนิรันดร์	ตลอดกาล	ตลอดไป	โดยตลอดไป
ซีด	ซีดจาง	ซีดเซียว	ซูบซีด
ทำให้ป่วย	ทำให้ไม่สบาย
วางยา	วางยาพิษ	วางยาเบื่อ	เบื่อ	ให้กินยาพิษ
การจับกุม	การยึดทรัพย์
ทำให้มึนเมา	มีฤทธิ์
ตามอำเภอใจ	อย่างทันควัน	อย่างทันทีทันควัน
การจับกุม	การลากคอเข้าคุก
การพิชิต	การเอาชนะ
อย่างสูง	เป็นอย่างยิ่ง
ติดเชื้อ	ติดโรค
ทำให้ตกใจ	ทำให้บาดเจ็บ
อย่างอันตราย	อย่างอันตรายร้ายแรง	อย่างเป็นอันตราย
ช็อต	ใช้ไฟช็อต
ทำให้พิการ	เสียหายรุนแรง
ทำให้กุด	ทำให้ขาด	ทำให้ด้วน
บิด	หัก	แพลง
ขัด	ยอก	เคล็ด
ทำให้ขาเป๋	ทำให้เป็นง่อย
การกวาดทุ่นระเบิด	การกวาดเก็บทุ่นระเบิด	การเก็บกู้ทุ่นระเบิด
ต่ำทราม	เสื่อมโทรม
พักฟื้น	ฟักฟื้น
ฟื้นตัว	ฟื้นไข้
อย่างน่าตำหนิ	อย่างน่าเสียใจ	อย่างแย่
อ่อนกำลัง	อ่อนแรง
มีร่างกายอ่อนแอ	อ่อนแอทางร่างกาย
ขยาย	โต
งอกขน	มีขนขึ้น	มีขนงอก
ขึ้น	งอก
ขึ้นใหม่	งอกใหม่	สร้างใหม่
การทำให้เป็นอิสระ	การปลดปล่อย
ออกหน่อ	เกิดเป็นหน่อ	แตกหน่อ
ผลิใบ	ออกใบ	แตกใบ
การช่วยนักโทษแหกคุก	การแหกคุก
ฟันขึ้น	ฟันงอก	ฟันน้ำนมขึ้น
กลายเป็นดักแด้	เปลี่ยนเป็นดักแด้	เป็นดักแด้
ซึ่งชีพจรไม่เต้น	ซึ่งไม่หายใจ
มากขึ้น	เพิ่มขึ้น
กลัดหนอง	เป็นหนอง
จำกัดพื้นที่	จำกัดวง
กลายเป็นเนื้อตาย	เป็นเนื้อตาย
ทำให้สดชื่น	ฟื้นฟู	ให้พลัง
กระชุ่มกระชวยอีกครั้ง	กระปรี้กระเปร่าอีกครั้ง	กลับมาเป็นหนุ่มอีกครั้ง
ทำให้เกิดใหม่	สร้างใหม่	เกิดใหม่
ทำให้ฟื้น	ทำให้รู้สึกตัว
ชุบชีวิต	ทำให้คืนชีพ
การบริการ	การให้บริการ
คืนชีพ	ฟื้นคืนชีพ
ตกสะเก็ด	เป็นสะเก็ดแผล
ปลูกผิวหนัง	มีผิวหนังขึ้นใหม่
หาย	หายดี	เป็นปกติ
การแสดงซ้ำ	อังกอร์
สลบ	หมดแรง
ทำกายบริหาร	บริหารร่างกาย	ออกกำลังกาย	เอ็กเซอร์ไซส์
การเล่นกล	การแสดงมายากล	มายากล
ซ้อม	ฝึก	ฝึกซ้อม	เทรน
สาย	อย่างล่าช้า
หมุน	หมุนตัว
ทำกายบริหาร	ทำให้เอ็กเซอร์ไซส์	บริหารร่างกาย
วอร์ม	วอร์มอัพ	อบอุ่นร่างกาย
การบรรเลงดนตรี	การเล่นดนตรี	การเล่นเครื่องดนตรี
ทำให้แข็งแกร่ง	ทำให้แข็งแรง
เหยียด	เหยียดออก
ตด	ผายลม
ขาก	ถุย	ถ่ม	บ้วน
บ้วน	พ่น
การเล่นแจม	แจมเซสชั่น
อัตโนมัติกรรม	เครื่องจักรกล
ทำอันตราย	เป็นอันตราย
ก่อนอื่น	เป็นครั้งแรก
น้ำลายสอ	น้ำลายหก	น้ำลายไหล
น้ำลายยืด	น้ำลายไหลยืด
ตอนเริ่มต้น	ตอนแรก	ทีแรก	ที่จุดสตาร์ท
การปล่อยเรือ	การปล่อยเรือลงน้ำ
กลายเป็นสีแดง	หน้าแดง	เปลี่ยนเป็นสีแดง
การปล่อยจรวด	การยิงจรวด
หน้าซีด	หน้าซีดเผือด	หัวหด
การขับ	การผลักดัน
ที่มีความหมายเดียว	ที่มีหนึ่งความหมาย
ตากแดด	นอนอาบแดด	ผึ่งแดด	อาบแดด
อย่างมาก	อย่างมากที่สุด
การขว้าง	การปา	การเขวี้ยง
กระจาย	กระจายทั่วร่าง	กระจายไปตามส่วนต่างๆ
ขับ	ปล่อย
ทะเยอทะยานอย่างสูง	ที่มีความทะเยอทะยานสูง
ขับกลิ่น	ปล่อยกลิ่น
ทันที	อย่างรวดเร็ว
การจ่ายบอล	การผ่านบอล	การส่งบอล
การขว้างลูก	การขว้างลูกเบสบอล
หายใจไม่ออก	อึดอัด
หรอมแหรม	โหรงเหรง
สวมเสื้อคลุม	ใส่เสื้อคลุม
ทำตัวเหลวไหล	ทำตัวไร้สาระ
การขว้างอย่างรวดเร็ว	การขว้างเร็ว
ขับชน	ขับรถชน	ชน	พุ่งชน
น้ำหนักขึ้น	น้ำหนักเพิ่ม
อย่างน่าสังเกต	โดยผิดปกติ
เรียก	เรียกให้ตื่น
ดูเหมือนจะ	ดูเหมือนจะทำบางสิ่ง	เหมือนเริ่มจะ
ทำให้กระดูกหัก	หัก
กระดูกหัก	กระดูกแตก	หัก
หัก	แตก
ขึ้น	งอก
พลีกาย	มอบกาย	มอบเรือนร่าง	ยอม
กลายสภาพ	เปลี่ยน
อย่างถ่อมตน	อย่างเจียมตัว
กลางแจ้ง	ข้างนอก
อย่างเงียบขรึม	อย่างเงียบเชียบ
สดๆร้อนๆ	เมื่อเร็วๆนี้
การกด	การกดลง	การเคาะ
การคลิกเมาส์	เสียงกดปุ่ม
อีกครั้ง	ใหม่
ทำให้ป่าเถื่อน	ป่าเถื่อน
กลายเป็นคาราเมล	ทำให้เป็นคาราเมล	เปลี่ยนเป็นคาราเมล
ทำให้เป็นพิกเซล	เปลี่ยนเป็นพิกเซล
กลายเป็น	เปลี่ยน	แปลง
การกระชาก	การกระตุก
การดึง	การลาก
เปลี่ยนเป็นปุ๋ยอินทรีย์	เปลี่ยนเป็นฮิวมัส
ทำให้เป็นกริยา	เปลี่ยนเป็นกริยา
การยก	การยกขึ้น
กลายเป็นสปอร์	เปลี่ยนเป็นสปอร์
ทำให้เป็นนวนิยาย	เขียนเป็นนวนิยาย	เปลี่ยนเป็นนวนิยาย
ด้วยส่วนรวม	ด้วยแผนส่วนรวม
เกิน	เกินไป
หลังจากนั้น	แล้วก็
การขาก	การถุยน้ำลาย	การถ่มน้ำลาย	การบ้วนน้ำลาย
การอวก	การอาเจียน
การอาเจียนเป็นเลือด	การอาเจียนเป็นโลหิต
การกระโจน	การกระโดด
กลายพันธุ์	ผ่าเหล่า	ผ่าเหล่าผ่ากอ
ฟอกเลือด	ฟอกโลหิต
ที่ไม่ทราบชื่อ	นิรนาม
อยู่ชานเมือง	อยู่นอกเมือง
มวน	ม้วน
มวน	ม้วน
ล้าน	โกร๋น	โล้น
ทำให้เปลี่ยน	ทำให้เปลี่ยนแปลง	เปลี่ยน	เปลี่ยนแปลง
การเล่นตำแหน่งผู้รับลูก	การเล่นตำแหน่งแคตเชอร์
การตีกอล์ฟ	การเล่นกอล์ฟ
ก่อน	เก่า
การเล่นตำแหน่งผู้ขว้างลูก	การเล่นตำแหน่งพิตเชอร์
การทำดีที่สุด	ผลดีที่สุด
การทำแย่ที่สุด	ผลแย่ที่สุด
ราวกับใช้เวทย์มนตร์	อย่างกับเนรมิต
อย่างมืออาชีพ	อย่างมือโปร
การโหม่ง	การโหม่งลูก
อย่างกับนรก	อย่างระยำ
การตบด้วยหลังมือ	การแบ็กแฮนด์
การฟาดด้วยกระดาน	การฟาดด้วยแผ่นกระดาน
การหวดแส้	การเฆี่ยน	การเฆี่ยนด้วยแส้
การชก	การต่อย
กลายเป็นด่าง	เป็นด่าง
การทิ่ม	การแทง
การชกตอบ	การชกสวน	การชกโต้กลับ
การชกหมัดฮุค	การใช้หมัดฮุค	หมัดฮุค
การแย็บ	การใช้หมัดแย็บ
ทิ้ง	ปล่อย
มีผล	มีผลกระทบ	ส่งผล	ส่งผลกระทบ
