00001740-v	หายใจ	หายใจเข้าออก
00048912-v	สวมชุดกระโปรง	ใส่ชุดกระโปรง
00049007-v	สวมเสื้อเชิ้ต	ใส่เสื้อเชิ้ต
00049309-v	สวมเสื้อหลายชั้น	ใส่เสื้อหลายชั้น
00049770-v	สวมรองเท้า	ใส่รองเท้า
00049947-r	อย่างก้าวร้าว	อย่างเป็นปฏิปักษ์
00050037-n	การลงทะเบียน	การสมัครเรียน
00050083-a	ที่เป็นการลบ	ที่เป็นการหักออก
00050297-r	ร่าเริง	อย่างมีความสุข	อย่างร่าเริง	อย่างสนุกสนานรื่นเริง	โดยไม่อนาทรร้อนใจ
00050446-a	ที่น้อยลง	ที่ลดลง
00050641-a	ซึ่งเขียนที่อยู่ผู้รับ	ที่ระบุผู้รับ
00050652-v	สวม	สวมใส่	ใส่
00050817-r	อย่างมั่นคง	อย่างแน่วแน่
00051060-v	พันด้วยผ้าพันคอ	พันผ้าพันคอ
00051170-v	รีบสวม	รีบใส่
00051370-v	ถอดอย่างเร็ว	ถอดออก
00051373-a	ซึ่งมีความสามารถ	ที่สามารถทำได้
00051571-a	เพียงพอ	เพียงพอต่อจุดประสงค์
00051637-v	แต่งตัวลักเพศ	แต่งตัวเป็นเพศตรงข้าม
00051761-v	สวมชุด	ใส่ชุด
00051848-r	อย่างแน่แท้	โดยตรง
00052012-a	ขาด	ขาดแคลน	ไม่พอเพียง
00052246-a	ที่ไม่มีความสามารถ	ที่ไม่สามารถพอ
00052253-v	ครองผ้า	สวมจีวร	ห่มจีวร
00052374-v	สวม	ใส่
00052431-a	ซึ่งขาดคนทำงาน	ทีขาดคนงาน	ทีขาดแรงงาน
00052500-n	การลงจอด	การแลนดิ้ง
00052672-a	ซึ่งติดแน่น	เหนียว
00053004-r	ตกลง	โอเค
00053159-v	ทำให้ตั้งครรภ์	ทำให้ตั้งท้อง	ทำให้ท้อง
00053525-n	การกล่าวคำอำลา	การกล่าวลา	การกล่าวอำลา	การอำลา
00053609-n	การสาบสูญ	การหายตัวไป
00053889-v	ผสมข้ามพันธุ์	ผสมข้ามสายพันธุ์
00054059-v	การถ่ายเกสร	การผสมเกสร
00054364-a	ที่ทาด้วยน้ำมันดิน	เหมือนน้ำมันดิน
00054950-r	อย่างน่ากลัว	อย่างมหันต์
00055010-v	น้ำแตก	หลั่ง	หลั่งน้ำกาม	หลั่งน้ำอสุจิ	หลั่งอสุจิ
00055101-r	อย่างเลวร้าย	อย่างแย่มาก	แย่มาก
00055312-r	พอใช้ได้	อย่างยอมรับได้
00055871-v	ขยายพันธุ์	ทำให้ขยายพันธุ์	ทำให้แพร่พันธุ์	แพร่พันธุ์
00056188-v	ออกผล	ออกลูก	ให้ผล
00056930-v	คลอด	คลอดลูก	มีพระประสูติการ	เกิด	เกิดลูก	ให้กำเนิด
00057506-v	คลอด	คลอดบุตร	คลอดลูก
00057665-v	คลอดลูกแฝด	เกิดลูกแฝด	ให้กำเนิดลูกแฝด
00058014-v	ออกลูก	ให้ลูก
00058135-v	ออกลูก	ออกลูกแมว
00058337-n	การขึ้นเครื่อง	การขึ้นเครื่องบิน
00058645-v	ตกลูก	ออกลูก	ออกลูกหมู
00059019-v	ตั้งครรภ์	ท้อง	ป่อง	มีครรภ์	มีท้อง	อุ้มท้อง
00059171-r	มาก	มากมาย
00059201-a	ที่แกะฝังในเนื้อ	ที่แกะสลัก
00059899-v	ทำแท้ง	รีดลูก	รีดเด็ก	เอาเด็กออก	แท้ง
00059989-n	การหนีออกจาก	การแหกคุก
00060185-v	กก	กกไข่	ฟัก	ฟักไข่
00060414-n	การอพยพหมู่	ฮิจเราะห์
00061203-r	ตอนหลัง	ในภายหลัง
00061677-r	ทันทีทันใด	ในทันที
00062067-v	ผ่าตัดด้วยเครื่องเจาะกะโหลก	ผ่าตัดเจาะกะโหลก
00062203-v	มีประจำเดือน	มีรอบเดือน	มีระดู	มีเมนส์
00062330-r	ด้วยความจงใจ	อย่างจงใจ	โดยตั้งใจ	โดยเจตนา	โดยได้พิจารณาถี่ถ้วนแล้ว
00062650-r	โดยไม่ได้ตั้งใจ	โดยไ่ม่ได้ตั้งใจ
00062857-r	ฉะนั้น	ตามที่
00063014-n	การบันทึกสถิติ	บันทึกสถิติ	สถิติ	เรคอร์ด
00063172-r	อย่างมีทางเลือก	อีกทางหนึ่ง
00063310-n	สถิตินักวิ่ง	สถิติวิ่ง
00063559-n	บันทึกที่สุดในโลก	สถิติกินเนสบุ๊ค
00064018-n	การประสบชัยชนะ	การได้รับชัยชนะ
00064487-v	จับเส้น	นวด	บีบ	บีบนวด
00064643-v	ทำให้บาดเจ็บ	ทำให้ปวด	ทำให้เจ็บ
00064787-a	ดี	ที่ดี
00064889-v	ทำให้ป่วย	ทำให้ไม่สบาย
00064946-r	ขณะที่	ขณะนั้น
00065070-v	ทนทุกข์	ปวด	เจ็บ
00065216-n	การพิชิต	การเป็นผู้พิชิต
00065855-n	หน่วยกิต	หน่วยกิตรายวิชา
00066025-v	ครางเบาๆ	คร่ำครวญ
00066190-r	จิตใจเลื่อนลอย	อย่างเลื่อนลอย	อย่างใจลอย
00066191-v	ทรงกันแสง	ทรงพระกันแสง	น้ำหูน้ำตาไหล	ร้องห่มร้องไห้	ร้องไห้	หลั่งน้ำตา
00066605-r	อย่างซาบซึ้งใจ	อย่างตื้นตันใจ	อย่างสะเทือนใจ
00066862-v	ปล่อยโฮ	ร่ำไห้	ร้องไห้โฮ
00066977-v	น้ำตาคลอ	น้ำตาคลอหน่วย	น้ำตาคลอเบ้า	น้ำตาไหล
00067265-r	ข้างหน้า	ตรงไป
00067274-v	ร้องไห้สะอึกสะอื้น	สะอื้นไห้
00067545-v	เหงื่อซึม	เหงื่อออก	เหงื่อแตก	เหงื่อไหล	เหงื่อไหลไคลย้อย
00067707-n	การยอม	การยอมแพ้
00067999-v	ซึม	ซึมออกมา	ไหลซึม	ไหลซึมออก
00068368-r	ไป	ไปยัง
00068627-v	ท่วม	โชก
00069879-v	ทำร้าย	ทำให้ร่างกายบาดเจ็บ	ทำให้เกิดบาดแผล
00070363-n	การทำให้เอียง	การเอียง
00070439-v	กระทืบ	ตื้บ	ทืบ
00070765-r	ตามอำเภอใจ	อย่างสุ่ม	อย่างสุ่มเดา
00070816-v	ทำให้ป่วย	ทำให้เจ็บป่วย	ทำให้ไม่สบาย
00071178-v	ทรมาน	ทำให้ทนทุกข์ทรมาน
00072012-v	ฉี่	ถ่ายปัสสาวะ	ถ่ายเบา	ปัสสาวะ	ยิงกระต่าย	เด็ดดอกไม้	เยี่ยว
00072586-v	ฉี่	ถ่ายปัสสาวะ	ปัสสาวะ
00072897-v	ฉี่	ถ่ายปัสสาวะ	ปัสสาวะ
00072989-v	ขับ	ขับของเสีย	ขับถ่าย
00073033-r	จวนเจียน	เกือบ
00073584-v	ดูด	ดูดออก
00073813-v	ถ่ายท้อง	ระบาย
00073897-r	ส่วนใหญ่	เป็นหลัก
00074038-v	ขับถ่าย	ขี้	ถ่าย	ถ่ายทุกข์	ถ่ายท้อง	ถ่ายหนัก	ถ่ายอุจจาระ	ปลดทุกข์	อึ	อุจจาระ
00074524-n	การมองข้าม	การละเลย	การไม่สังเกต
00074594-a	ทางธรรมชาติ	เป็นธรรมชาติ
00074730-v	ท้องผูกมาก	ท้องผูกรุนแรง
00074790-n	การทำผิดพลาด	ความผิดที่น่าอับอาย
00074834-v	ตกเลือด	เลือดตกยางออก	เลือดออก	เลือดไหล
00075021-v	เหนื่อย	เหน็ดเหนื่อย
00075421-v	กะปลกกะเปลี้ย	หมดกำลัง	หมดพลัง	หมดเรี่ยวหมดแรง	หมดเรี่ยวแรง	หมดแรง	อ่อนล้า	อ่อนเปลี้ย	เหนื่อยล้า
00075708-v	เหนื่อยกายเหนื่อยใจ	เหนื่อยทั้งกายและใจ
00075998-v	กรอบ	ล้า	เหนื่อยล้ามาก
00076114-v	เซ็ง	เบื่อ	เบื่อหน่าย
00076400-v	คายออก	ราก	รากแตก	อาเจียน	อ้วก
00077071-v	ปล่อยออก	พ่น
00077458-v	คลื่นเหียน	คลื่นไส้
00077698-v	ขาดอากาศหายใจ	หายใจไม่ออก
00077981-n	การติดเชื้อ	การติดโรค	การรับเชื้อ	การได้รับเชื้อ
00078665-v	ป่วย	ไม่สบาย
00078760-v	บำบัด	รักษา	เยียวยา	ให้การรักษา
00079212-n	การซื้อคืน	การไถ่ถอน
00079398-n	การซื้อขาย	เทรดดิ้ง
00079603-n	การซื้อขายหลักทรัพย์	การซื้อขายหุ้น
00079629-v	พ่นเข้าไป	รักษาโดยการพ่นเข้าร่างกาย
00079788-v	ดีท็อกซ์	ล้างพิษ
00079947-r	ข้างต้น	ด้านบน
00080039-r	ต่ำกว่า	ใต้
00080169-r	ข้างบน	เหนือ
00080456-v	ตรวจโรคสัตว์	รักษาสัตว์
00080534-r	อย่างดูถูก	อย่างดูถูกเหยียดหยาม	อย่างหยาบคาย
00080705-v	พยาบาล	รักษาพยาบาล
00080890-r	อย่างบ้าคลั่ง	อย่างวิกลจริต
00080929-v	นวด	รักษาด้วยการนวด	รักษาด้วยมือ
00081513-a	ซึ่งกลัวคนต่างชาติ	ซึ่งหวาดกลัวชาวต่างชาติ
00081591-r	ทุกสัปดาห์	ทุกอาทิตย์	รายสัปดาห์
00081737-r	ทุกปี	รายปี
00081836-n	การจับจ่าย	การช็อปปิ้ง
00081881-r	ซอกแซก	อย่างอยากรู้อยากเห็น
00082148-r	อย่างหลอกลวง	ในทางที่ผิด
00082563-v	ทำให้ดีขึ้น	บรรเทา
00082714-v	พันผ้าพันแผล	รักษาแผล
00082923-r	อย่างงุนงง	อย่างมึนงง
00082929-v	พอก	พอกยา
00083124-v	ผูก	พัน	พันผ้าก็อต	พันผ้าพันแผล	พันแผล	มัด
00083334-v	ผูก	มัด	รัด
00083523-v	พันผ้ายืด	รัดข้อด้วยแถบผ้า
00083661-v	เข้าเฝือก	ใส่เฝือก
00084038-r	อย่างอาศัยการสังเกต	เชิงประจักษ์
00084223-r	เป็นพิเศษ	โดยเฉพาะอย่างยิ่ง
00084230-v	รักษาด้วยยา	ใช้ยารักษา	ให้ยารักษา
00084738-v	ใช้ยา	ให้ยา
00084840-r	อย่างยุ่งยาก	อย่างสลับซับซ้อน
00085046-v	โด๊ป	โด๊ปยา	ใช้สารกระุตุ้น
00085353-v	เสพยาเกินขนาด	ใช้ยาเกินขนาด	ได้รับยาเกินขนาด
00085506-v	ให้ยาเสพย์ติด	ให้สารเสพย์ติด	ให้สิ่งเสพย์ติด
00085667-r	อย่างขบขัน	อย่างทะลึ่ง
00085811-r	อย่างรวดเร็ว	โดยด่วน
00085829-n	การอายัด	การอายัดทรัพย์สิน
00085907-v	ทายา	ทายาทาแผล	ทาแผล	ใช้ยาทาแผล
00087188-r	อย่างเด็ดขาด	อย่างไม่มีเงื่อนไข
00087542-r	ชั่วนิจนิรันดร์	ตลอดกาล	ตลอดไป	โดยตลอดไป
00087653-v	ซีด	ซีดจาง	ซีดเซียว	ซูบซีด
00088209-v	ทำให้ป่วย	ทำให้ไม่สบาย
00088339-v	วางยา	วางยาพิษ	วางยาเบื่อ	เบื่อ	ให้กินยาพิษ
00088481-n	การจับกุม	การยึดทรัพย์
00088532-v	ทำให้มึนเมา	มีฤทธิ์
00088655-r	ตามอำเภอใจ	อย่างทันควัน	อย่างทันทีทันควัน
00088725-n	การจับกุม	การลากคอเข้าคุก
00089027-n	การพิชิต	การเอาชนะ
00089408-r	อย่างสูง	เป็นอย่างยิ่ง
00089750-v	ติดเชื้อ	ติดโรค
00090186-v	ทำให้ตกใจ	ทำให้บาดเจ็บ
00090228-r	อย่างอันตราย	อย่างอันตรายร้ายแรง	อย่างเป็นอันตราย
00090386-v	ช็อต	ใช้ไฟช็อต
00090708-v	ทำให้พิการ	เสียหายรุนแรง
00090888-v	ทำให้กุด	ทำให้ขาด	ทำให้ด้วน
00091124-v	บิด	หัก	แพลง
00091513-v	ขัด	ยอก	เคล็ด
00091647-v	ทำให้ขาเป๋	ทำให้เป็นง่อย
00091779-n	การกวาดทุ่นระเบิด	การกวาดเก็บทุ่นระเบิด	การเก็บกู้ทุ่นระเบิด
00092293-v	ต่ำทราม	เสื่อมโทรม
00092690-v	พักฟื้น	ฟักฟื้น
00093163-v	ฟื้นตัว	ฟื้นไข้
00093270-r	อย่างน่าตำหนิ	อย่างน่าเสียใจ	อย่างแย่
00093593-v	อ่อนกำลัง	อ่อนแรง
00093775-v	มีร่างกายอ่อนแอ	อ่อนแอทางร่างกาย
00094153-v	ขยาย	โต
00094312-v	งอกขน	มีขนขึ้น	มีขนงอก
00094460-v	ขึ้น	งอก
00095012-v	ขึ้นใหม่	งอกใหม่	สร้างใหม่
00095502-n	การทำให้เป็นอิสระ	การปลดปล่อย
00095595-v	ออกหน่อ	เกิดเป็นหน่อ	แตกหน่อ
00095747-v	ผลิใบ	ออกใบ	แตกใบ
00095873-n	การช่วยนักโทษแหกคุก	การแหกคุก
00095990-v	ฟันขึ้น	ฟันงอก	ฟันน้ำนมขึ้น
00096520-v	กลายเป็นดักแด้	เปลี่ยนเป็นดักแด้	เป็นดักแด้
00096595-a	ซึ่งชีพจรไม่เต้น	ซึ่งไม่หายใจ
00096648-v	มากขึ้น	เพิ่มขึ้น
00096766-v	กลัดหนอง	เป็นหนอง
00097029-v	จำกัดพื้นที่	จำกัดวง
00097394-v	กลายเป็นเนื้อตาย	เป็นเนื้อตาย
00097621-v	ทำให้สดชื่น	ฟื้นฟู	ให้พลัง
00097781-v	กระชุ่มกระชวยอีกครั้ง	กระปรี้กระเปร่าอีกครั้ง	กลับมาเป็นหนุ่มอีกครั้ง
00097941-v	ทำให้เกิดใหม่	สร้างใหม่	เกิดใหม่
00098083-v	ทำให้ฟื้น	ทำให้รู้สึกตัว
00098517-v	ชุบชีวิต	ทำให้คืนชีพ
00098625-n	การบริการ	การให้บริการ
00098770-v	คืนชีพ	ฟื้นคืนชีพ
00098963-v	ตกสะเก็ด	เป็นสะเก็ดแผล
00099089-v	ปลูกผิวหนัง	มีผิวหนังขึ้นใหม่
00099184-v	หาย	หายดี	เป็นปกติ
00099439-n	การแสดงซ้ำ	อังกอร์
00099517-v	สลบ	หมดแรง
00099721-v	ทำกายบริหาร	บริหารร่างกาย	ออกกำลังกาย	เอ็กเซอร์ไซส์
00099951-n	การเล่นกล	การแสดงมายากล	มายากล
00100044-v	ซ้อม	ฝึก	ฝึกซ้อม	เทรน
00100267-r	สาย	อย่างล่าช้า
