advertising	การโฆษณา	จิตวิทยา	
advice giving	การให้คำแนะนำ	จิตวิทยา	
aesthetic view	สุนทรียทัศน์	จิตวิทยา	
affect	ความรู้สึกที่แสดงออก	จิตวิทยา	
affection	อารมณ์อ่อนโยน	จิตวิทยา	
affective cognitive synthesis	การสังเคราะห์การรู้คิดและอารมณ์	จิตวิทยา	
affectivity	ความอ่อนไหวทางอารมณ์	จิตวิทยา	
affiliation	ความใฝ่สัมพันธ์	จิตวิทยา	
affirmative action	การยืนยันสิทธิประโยชน์	จิตวิทยา	
afterimage	ภาพติดตา	จิตวิทยา	
aftershock	การช็อกหลังเกิดเหตุ	จิตวิทยา	
age	อายุ	จิตวิทยา	
age crisis	วิกฤตอายุ	จิตวิทยา	
age discrimination	การกีดกันทางอายุ	จิตวิทยา	
age grading	การแบ่งวัย	จิตวิทยา	
ageing; aging	การสูงวัย	จิตวิทยา	
ageism	แนวคิดนิยมทางลบต่อผู้สูงอายุ	จิตวิทยา	
agency	หน่วยงาน	จิตวิทยา	
agent	ตัวแทน	จิตวิทยา	
aging; ageing	การสูงวัย	จิตวิทยา	
aggression	ความก้าวร้าว	จิตวิทยา	
aggressive behavior	พฤติกรรมก้าวร้าว	จิตวิทยา	
aggressive drive	แรงขับความก้าวร้าว	จิตวิทยา	
Alcoholics Anonymous (AA)	ชมรมผู้ติดสุรานิรนาม	จิตวิทยา	
alert	การตื่นตัว	จิตวิทยา	
alienation	ความแปลกแยก	จิตวิทยา	
Allport-Vernon-Lindzey Study of Values	การศึกษาค่านิยมโดยอัลล์พอร์ตกับเวอร์นอนและลินด์ซีย์	จิตวิทยา	
alpha rhythm	จังหวะของคลื่นสมองแอลฟา	จิตวิทยา	
Alpha Test	แบบทดสอบแอลฟา	จิตวิทยา	
Army Alpha Test	แบบทดสอบแอลฟา	จิตวิทยา	
altruism	ความเอื้อเฟื้อ	จิตวิทยา	
altruistic suicide	การสละชีพเพื่อประโยชน์ของส่วนรวม	จิตวิทยา	
Alzheimer’s Disease (AD)	โรคอัลไซเมอร์	จิตวิทยา	
ambiguity in the relationship	สัมพันธภาพที่คลุมเครือ	จิตวิทยา	
ambiguous figures	ภาพหลายนัย	จิตวิทยา	
ambiguous propaganda	การโฆษณาชวนเชื่อแบบคลุมเครือ	จิตวิทยา	
ambivalence	ภาวะสองจิตสองใจ	จิตวิทยา	
ambiversion	ลักษณะก้ำกึ่ง	จิตวิทยา	
American Psychological Association (APA)	สมาคมจิตวิทยาอเมริกัน	จิตวิทยา	
Ames Distorted Room	ห้องบิดเบือนอีมส์	จิตวิทยา	
amnesia	ภาวะสูญเสียความจำ	จิตวิทยา	
amok	กลุ่มอาการอะม็อก	จิตวิทยา	
anal phase	ขั้นทวารหนัก	จิตวิทยา	
anal stage	ขั้นทวารหนัก	จิตวิทยา	
anchoring and adjustment heuristic	ตัวช่วยอย่างง่ายที่ใช้เป็นจุดเปรียบเทียบและปรับแก้	จิตวิทยา	
androgyny	แอนโดรจีนี	จิตวิทยา	
anecdotal method	วิธีการบันทึกพฤติกรรมตรง	จิตวิทยา	
method of anecdote	วิธีการบันทึกพฤติกรรมตรง	จิตวิทยา	
anecdotal record	การบันทึกพฤติกรรมตรง	จิตวิทยา	
anger	ความโกรธ	จิตวิทยา	
angry aggression	ความก้าวร้าวจากความโกรธ	จิตวิทยา	
animism	แอนนิมิซึม	จิตวิทยา	
animism	ความเชื่อว่าธรรมชาติมีชีวิต	จิตวิทยา	
anticipation	การคาดการณ์	จิตวิทยา	
antisocial personality	บุคลิกภาพต่อต้านสังคม	จิตวิทยา	
anxiety	วิตกกังวล	จิตวิทยา	
APA (American Psychological Association)	เอพีเอ	จิตวิทยา	
apathy	ไร้อารมณ์	จิตวิทยา	
Applied Psychology	จิตวิทยาประยุกต์	จิตวิทยา	
appraisal	การประเมินค่า	จิตวิทยา	
apprehension span	ช่วงการรับรู้ขั้นต้น	จิตวิทยา	
approach	แนวคิด	จิตวิทยา	
approach	แนวทาง	จิตวิทยา	
approach-approach conflict	ความขัดแย้งในใจแบบต้องการทั้งสองสิ่งในเวลาเดียวกัน	จิตวิทยา	
approach-avoidance conflict	ความขัดแย้งในใจแบบต้องการและไม่ต้องการในสิ่งเดียวกัน	จิตวิทยา	
appropriate affect	ความรู้สึกที่แสดงออกอย่างเหมาะสม	จิตวิทยา	
APS (Associtation for Psychological Science)	เอพีเอส	จิตวิทยา	
aptitude	ความถนัด	จิตวิทยา	
aptitude test	แบบทดสอบความถนัด	จิตวิทยา	
aptitude tests for occupation	แบบทดสอบความถนัดทางอาชีพ	จิตวิทยา	
AQ (Achievement Quotient)	เอคิว	จิตวิทยา	
AQ (Adversity Quotient)	เอคิว	จิตวิทยา	
arbitration	การอนุญาโตตุลาการ	จิตวิทยา	
Army Alpha Test	แบบทดสอบแอลฟา	จิตวิทยา	
Alpha Test	แบบทดสอบแอลฟา	จิตวิทยา	
arrest of development	พัฒนาการที่หยุดชะงัก	จิตวิทยา	
arugamama	อะรุกะมะมะ	จิตวิทยา	
asceticism	โดษนิยม	จิตวิทยา	
ascribed role	บทบาทที่ถูกกำหนด	จิตวิทยา	
aspiration	ปณิธาน	จิตวิทยา	
aspiration	ประณิธาน	จิตวิทยา	
assaultive behavior	พฤติกรรมทำร้ายรุนแรง	จิตวิทยา	
assertive training	การฝึกความกล้าแสดงออก	จิตวิทยา	
assessment	การประเมิน	จิตวิทยา	
assessment in counseling	การประเมินในการให้บริการปรึกษา	จิตวิทยา	
assimilation	การซึมซับ	จิตวิทยา	
assimilation	การสมานลักษณ์	จิตวิทยา	
association	การเชื่อมโยง	จิตวิทยา	
Association for Psychological Science (APS)	สมาคมศาสตร์ทางจิตวิทยา	จิตวิทยา	
asylum	สถานดูแลผู้ป่วยโรคจิต	จิตวิทยา	
Atomism	จุลจิตวิทยา	จิตวิทยา	
atomistic approach	แนวคิดจุลจิตวิทยา	จิตวิทยา	
Atomistic Psychology	จิตวิทยาอะตอม	จิตวิทยา	
attachment	ความผูกพันทางจิตใจ	จิตวิทยา	
attachment disorder	โรคความผิดปรกติของความผูกพันทางจิตใจ	จิตวิทยา	
attachment style	รูปแบบความผูกพันทางจิตใจ	จิตวิทยา	
attensity	ความชัดเจน	จิตวิทยา	
attention	ความใส่ใจ	จิตวิทยา	
attention span	ช่วงความใส่ใจ	จิตวิทยา	
attitude	เจตคติ	จิตวิทยา	
attitude accessibility	การเข้าถึงเจตคติ	จิตวิทยา	
attitude change	การเปลี่ยนเจตคติ	จิตวิทยา	
attitude-discrepant behavior	พฤติกรรมไม่สอดคล้องกับเจตคติ	จิตวิทยา	
attitude inoculation	การเพาะความคิดเพื่อต่อต้านการเปลี่ยนเจตคติ	จิตวิทยา	
attitude of target for psychological operations	เจตคติของเป้าหมายในการปฏิบัติการทางจิตวิทยา	จิตวิทยา	
attitude scale	มาตรวัดเจตคติ	จิตวิทยา	
Attitudes toward Women as Managers (ATWAM)	มาตรวัดเจตคติที่มีต่อผู้จัดการหญิง	จิตวิทยา	
attitude theory	ทฤษฎีเจตคติ	จิตวิทยา	
attribution	การอนุมานสาเหตุ	จิตวิทยา	
attribution theory	ทฤษฎีการอนุมานสาเหตุ	จิตวิทยา	
ATWAM (Attitudes toward Women as Managers)	เอทีดับเบิลยูเอเอ็ม	จิตวิทยา	
authoritarian	อำนาจนิยม	จิตวิทยา	
authoritarian	เผด็จการ	จิตวิทยา	
authoritarian management	การบริหารจัดการแบบอำนาจนิยม	จิตวิทยา	
authoritarian personality	บุคลิกภาพแบบอำนาจนิยม	จิตวิทยา	
authoritative parenting style	รูปแบบการอบรมเลี้ยงดูแบบเอาใจใส่	จิตวิทยา	
autism	ออทิซึม	จิตวิทยา	
autistic disorder	โรคออทิสติก	จิตวิทยา	
autistic thinking	การคิดแบบออทิสติก	จิตวิทยา	
autobiography	อัตชีวประวัติ	จิตวิทยา	
autokinetic effect	การรับรู้แสงเคลื่อนไหวได้เอง	จิตวิทยา	
automatic processing	การประมวลสารอย่างอัตโนมัติ	จิตวิทยา	
autonomous morality	จริยธรรมยึดกฎเกณฑ์ภายใน	จิตวิทยา	
availability heuristic	ตัวช่วยอย่างง่ายเท่าที่หาได้	จิตวิทยา	
aversion	ความรู้สึกไม่พึงประสงค์	จิตวิทยา	
aversion therapy	การบำบัดด้วยวิธีไม่พึงประสงค์	จิตวิทยา	
aversive behavior	พฤติกรรมไม่พึงประสงค์	จิตวิทยา	
aversive stimulus	สิ่งเร้าไม่พึงประสงค์	จิตวิทยา	
avoidance-avoidance conflict	ความขัดแย้งในใจแบบไม่ต้องการทั้งสองสิ่งในเวลาเดียวกัน	จิตวิทยา	
awareness	การตระหนักรู้	จิตวิทยา	
awareness	การมีสติ	จิตวิทยา	
babble	เสียงพูดอ้อแอ้ของทารก	จิตวิทยา	
babbling	เสียงพูดอ้อแอ้ของทารก	จิตวิทยา	
babble stage	ขั้นอ้อแอ้	จิตวิทยา	
babbling	เสียงพูดอ้อแอ้ของทารก	จิตวิทยา	
babble	เสียงพูดอ้อแอ้ของทารก	จิตวิทยา	
Babinski reflex	ปฏิกิริยาสะท้อนบาบินสกี	จิตวิทยา	
baby talk	การพูดแบบทารก	จิตวิทยา	
balance theory	ทฤษฎีดุลยภาพ	จิตวิทยา	
bandwagon effect	การคล้อยตามคนส่วนมาก	จิตวิทยา	
bargaining	การต่อรอง	จิตวิทยา	
bargaining power	อำนาจต่อรอง	จิตวิทยา	
BARS (Behaviorally Anchored Rating Scale)	มาตรวัดพฤติกรรมของลูกจ้าง	จิตวิทยา	
basal age	อายุสมองพื้นฐาน	จิตวิทยา	
basal mental age	อายุสมองพื้นฐาน	จิตวิทยา	
basic concepts	มโนทัศน์พื้นฐาน	จิตวิทยา	
basic concepts	ความคิดรวบยอดพื้นฐาน	จิตวิทยา	
basic intelligence	ข่าวกรองมูลฐาน	จิตวิทยา	
basic intelligence factors	องค์ประกอบทางเชาวน์ปัญญาพื้นฐาน	จิตวิทยา	
basic needs	ความต้องการพื้นฐาน	จิตวิทยา	
basic trust	ความไว้วางใจพื้นฐาน	จิตวิทยา	
battery of tests	ชุดแบบทดสอบ	จิตวิทยา	
Bayley Infant Neurodevelopment Screener (BINS)	มาตรคัดกรองพัฒนาการทางสมองในวัยทารกโดยเบย์ลีย์	จิตวิทยา	
Bayley Scale of Infant Development (BSID)	มาตรวัดพัฒนาการวัยทารกโดยเบย์ลีย์	จิตวิทยา	
behavior	พฤติกรรม	จิตวิทยา	
behavioral analysis	การวิเคราะห์พฤติกรรม	จิตวิทยา	
behavioral approach to leadership	การศึกษาภาวะผู้นำผ่านพฤติกรรม	จิตวิทยา	
behavioral belief	ความเชื่อเกี่ยวกับพฤติกรรม	จิตวิทยา	
behavioral confirmation	การยืนยันพฤติกรรม	จิตวิทยา	
behavioral counseling	การให้บริการปรึกษาเชิงพฤติกรรม	จิตวิทยา	
behavioral dependence	พฤติกรรมการพึ่งพิง	จิตวิทยา	
behavioral intention	เจตนาเชิงพฤติกรรม	จิตวิทยา	
Behaviorally Anchored Rating Scale (BARS)	มาตรวัดพฤติกรรมของลูกจ้าง	จิตวิทยา	
behavioral medicine	เวชศาสตร์พฤติกรรม	จิตวิทยา	
behavioral observation	การสังเกตพฤติกรรม	จิตวิทยา	
behavioral science	พฤติกรรมศาสตร์	จิตวิทยา	
behavior contract	ข้อตกลงด้านพฤติกรรม	จิตวิทยา	
behaviorism	พฤติกรรมนิยม	จิตวิทยา	
behavior modeling	ตัวแบบพฤติกรรม	จิตวิทยา	
behavior modification	การปรับพฤติกรรม	จิตวิทยา	
behavior therapy	พฤติกรรมบำบัด	จิตวิทยา	
belief	ความเชื่อ	จิตวิทยา	
belief in a just-world	ความเชื่อว่าโลกนี้มีความยุติธรรม	จิตวิทยา	
belief preserverance	การคงอยู่ของความเชื่อ	จิตวิทยา	
belief system theory of stability and change	ทฤษฎีการคงตัวและการเปลี่ยนแปลงของระบบความเชื่อ	จิตวิทยา	
Bem-Sex-Role Inventory (BSRI)	เครื่องมือวัดบทบาททางเพศโดยเบ็ม	จิตวิทยา	
benchmark	ระดับเทียบเคียง	จิตวิทยา	
benchmark job	งานเพื่อใช้ในการเทียบเคียง	จิตวิทยา	
benevolent sexism	ความลำเอียงทางเพศแบบให้คุณ	จิตวิทยา	
bereavement	ความโศกเศร้าจากการสูญเสีย	จิตวิทยา	
beta rhythm	จังหวะคลื่นสมองเบตา	จิตวิทยา	
bias	ความลำเอียง	จิตวิทยา	
big five personality factors	ห้าองค์ประกอบหลักของบุคลิกภาพ	จิตวิทยา	
Binet-Simon Scale	มาตรเชาวน์ปัญญาบีเนและซีมง	จิตวิทยา	
BINS (Bayley Infant Neurodevelopment Screener)	บีไอเอ็นเอส	จิตวิทยา	
bipolar	สองขั้ว	จิตวิทยา	
bipolar disorder	โรคอารมณ์สองขั้ว	จิตวิทยา	
birth order	ลำดับการเกิด	จิตวิทยา	
birth order effect	ผลของลำดับการเกิด	จิตวิทยา	
birth trauma	ความตื่นตระหนกแรกเกิด	จิตวิทยา	
birth trauma	การบาดเจ็บขณะคลอด	จิตวิทยา	
bisexual	บุคคลสองเพศ	จิตวิทยา	
bisexual	การฝักใฝ่สองเพศ	จิตวิทยา	
bisexuality	การฝักใฝ่สองเพศ	จิตวิทยา	
body awareness	การตระหนักรูปร่างตน	จิตวิทยา	
body image	จินตภาพทางกาย	จิตวิทยา	
bogus pipeline technique	เทคนิคการสื่อสารแบบลวง	จิตวิทยา	
bonding	ความผูกพัน	จิตวิทยา	
borderline intellectual functioning	เชาวน์ปัญญาระดับคาบเส้น	จิตวิทยา	
BPRS (Brief Psychiatric Rating Scale)	บีพีอาร์เอส	จิตวิทยา	
brain spurt	การขยายตัวอย่างรวดเร็วของสมอง	จิตวิทยา	
brain spurt	ขนาดสมองที่ขยายอย่างรวดเร็ว	จิตวิทยา	
brainstorming	การระดมสมอง	จิตวิทยา	
brainwashing	การล้างสมอง	จิตวิทยา	
brainwaves	คลื่นสมอง	จิตวิทยา	
Brief Psychiatric Rating Scale (BPRS)	มาตรประมาณค่าทางจิตเวชแบบสั้น	จิตวิทยา	
bringing up	การเลี้ยงดู	จิตวิทยา	
BSID (Bayley Scale of Infant Development)	บีเอสไอดี	จิตวิทยา	
BSRI (Bem-Sex-Role Inventory)	บีเอสอาร์ไอ	จิตวิทยา	
bureaucratic attitude	เจตคติแบบเจ้าขุนมูลนาย	จิตวิทยา	
bureaucratic attitude	เจตคติแบบคับแคบ	จิตวิทยา	
burnout	ความเหนื่อยหน่าย	จิตวิทยา	
bystander apathy	ภาวะการวางเฉย	จิตวิทยา	
bystander effect	ภาวะการวางเฉย	จิตวิทยา	
California Occupational Preference Survey	แบบสำรวจความสนใจในอาชีพฉบับแคลิฟอร์เนีย	จิตวิทยา	
California Personality Inventory (CPI)	แบบสำรวจบุคลิกภาพฉบับแคลิฟอร์เนีย	จิตวิทยา	
campaign impact indicator	เครื่องบ่งชี้การรณรงค์	จิตวิทยา	
Cannon-Bard Theory of Emotion	ทฤษฎีอารมณ์แคนนอนและบาร์ด	จิตวิทยา	
career	อาชีพ	จิตวิทยา	
career choice	ทางเลือกอาชีพ	จิตวิทยา	
career development	พัฒนาการทางอาชีพ	จิตวิทยา	
career development inventory	แบบสำรวจพัฒนาการทางอาชีพ	จิตวิทยา	
career guidance	การแนะแนวอาชีพ	จิตวิทยา	
vocational guidance	การแนะแนวอาชีพ	จิตวิทยา	
Career Maturity Inventory (CMI)	แบบสำรวจวุฒิภาวะทางอาชีพ	จิตวิทยา	
career paths	เส้นทางอาชีพ	จิตวิทยา	
career patterns	แบบแผนอาชีพ	จิตวิทยา	
career planning	การวางแผนอาชีพ	จิตวิทยา	
caregiver	ผู้ดูแล	จิตวิทยา	
caretaker	ผู้ดูแล	จิตวิทยา	
case history	ประวัติรายบุคคล	จิตวิทยา	
case study	กรณีศึกษา	จิตวิทยา	
castration complex	ปมความกลัวการสูญเสียอวัยวะเพศ	จิตวิทยา	
catatonia	ภาวะพฤติกรรมการเคลื่อนไหวผิดปรกติ	จิตวิทยา	
catch-22 situation	สถานการณ์ยุ่งยาก	จิตวิทยา	
catharsis	การระบายทางอารมณ์	จิตวิทยา	
caudal	-ด้านหาง	จิตวิทยา	
caudal	-ด้านล่าง	จิตวิทยา	
causal belief	ความเชื่อเชิงสาเหตุ	จิตวิทยา	
causality	ความเป็นเหตุและผล	จิตวิทยา	
centering	การรับรู้ด้านเดียว	จิตวิทยา	
centration	การรับรู้ด้านเดียว	จิตวิทยา	
central route to persuasion	การโน้มน้าวใจทางสายแกนกลาง	จิตวิทยา	
centration	การรับรู้ด้านเดียว	จิตวิทยา	
centering	การรับรู้ด้านเดียว	จิตวิทยา	
cephalocaudal development	พัฒนาการแบบเซฟาโลคอดัล	จิตวิทยา	
CER (conditioned emotional response)	ซีอีอาร์	จิตวิทยา	
character disorder	โรคบุคลิกลักษณะผิดปรกติ	จิตวิทยา	
character traits	อุปนิสัยของบุคคล	จิตวิทยา	
charisma	บารมี	จิตวิทยา	
charismatic leader	ผู้นำที่มีบารมี	จิตวิทยา	
checklist	รายการสำหรับการตรวจสอบ	จิตวิทยา	
child development	พัฒนาการเด็ก	จิตวิทยา	
Child Psychology	จิตวิทยาเด็ก	จิตวิทยา	
circular behavior	พฤติกรรมแบบเวียนซ้ำ	จิตวิทยา	
circular reaction	พฤติกรรมแบบเวียนซ้ำ	จิตวิทยา	
civil affairs	กิจการพลเรือน	จิตวิทยา	
CJD (Creutzfeldt-Jakob Disease)	ซีเจดี	จิตวิทยา	
clarification	การสร้างความกระจ่าง	จิตวิทยา	
clairvoyance	ตาทิพย์	จิตวิทยา	
clairvoyance	ทิพยสัมผัส	จิตวิทยา	
classical conditioning	การวางเงื่อนไขแบบคลาสสิก	จิตวิทยา	
Clever Hans	ฮันส์แสนรู้	จิตวิทยา	
client	ผู้รับบริการปรึกษา	จิตวิทยา	
counselee	ผู้รับบริการปรึกษา	จิตวิทยา	
client-centered (psycho) therapy	การบำบัดแบบผู้รับบริการปรึกษาเป็นศูนย์กลาง	จิตวิทยา	
Clinical Psychology	จิตวิทยาคลินิก	จิตวิทยา	
closed counseling group	กลุ่มให้บริการปรึกษาแบบปิด	จิตวิทยา	
closure	การปิด	จิตวิทยา	
closure	การทำให้สมบูรณ์	จิตวิทยา	
CMI (Career Maturity Inventory	ซีเอ็มไอ	จิตวิทยา	
cognition	การรู้คิด	จิตวิทยา	
cognitive	เกี่ยวกับการรู้คิด	จิตวิทยา	
cognitive conditioning	การวางเงื่อนไขเกี่ยวกับการรู้คิด	จิตวิทยา	
cognitive dissonance theory	ทฤษฎีความไม่สอดคล้องด้านการรู้คิด	จิตวิทยา	
cognitive processing	กระบวนการรู้คิด	จิตวิทยา	
Cognitive Psychology	จิตวิทยาการรู้คิด	จิตวิทยา	
cognitive schema	โครงสร้างการรู้คิด	จิตวิทยา	
cognitive style	แบบการรู้คิด	จิตวิทยา	
cognitive-behavior therapy	พฤติกรรมบำบัดผ่านการรู้คิด	จิตวิทยา	
cohesion	ความเชื่อมแน่น	จิตวิทยา	
cohesion	การดึงดูดของกลุ่ม	จิตวิทยา	
cohesion	ความผูกยึด	จิตวิทยา	
cohesiveness	ความผูกยึด	จิตวิทยา	
cold war	สงครามเย็น	จิตวิทยา	
collective bargaining	การร่วมเจรจาต่อรอง	จิตวิทยา	
collective behavior	พฤติกรรมรวมหมู่	จิตวิทยา	
collective behavior	พฤติกรรมร่วม	จิตวิทยา	
collective unconscious	จิตไร้สำนึกร่วม	จิตวิทยา	
collectivism	คติรวมหมู่	จิตวิทยา	
communication skill	ทักษะการสื่อสาร	จิตวิทยา	
community relations	ชุมชนสัมพันธ์	จิตวิทยา	
companionate love	ความรักฉันเพื่อน	จิตวิทยา	
compensable factor	ปัจจัยกำหนดค่าตอบแทนของงาน	จิตวิทยา	
compensation	การชดเชย	จิตวิทยา	
competence	สมรรถนะ	จิตวิทยา	
competence values	ค่านิยมสมรรถวิสัย	จิตวิทยา	
competitive advantage	การได้เปรียบในการแข่งขัน	จิตวิทยา	
complementary of roles	บทบาทเสริมซึ่งกันและกัน	จิตวิทยา	
complex	ปม	จิตวิทยา	
compliance	การจำยอม	จิตวิทยา	
compliance	การยอมตาม	จิตวิทยา	
comprehension test	แบบทดสอบความเข้าใจ	จิตวิทยา	
compulsion	การย้ำทำ	จิตวิทยา	
compulsive reaction	การย้ำทำ	จิตวิทยา	
concept	มโนทัศน์	จิตวิทยา	
concept	ความคิดรวบยอด	จิตวิทยา	
concept formation	การสร้างความคิดรวบยอด	จิตวิทยา	
conceptual definition	นิยามเชิงมโนทัศน์	จิตวิทยา	
concern	ความเป็นห่วง	จิตวิทยา	
concern	ความเครียด	จิตวิทยา	
concreteness	ความเป็นรูปธรรม	จิตวิทยา	
concrete operational stage	ขั้นปฏิบัติการเชิงรูปธรรม	จิตวิทยา	
concurrent validity	ความตรงตามสภาพ	จิตวิทยา	
condition	เงื่อนไข	จิตวิทยา	
condition	ภาวการณ์ของเป้าหมาย	จิตวิทยา	
conditioned emotional response (CER)	การตอบสนองทางอารมณ์ถูกวางเงื่อนไข	จิตวิทยา	
conditioned inhibition	การยับยั้งผ่านการวางเงื่อนไข	จิตวิทยา	
conditioning	การวางเงื่อนไข	จิตวิทยา	
confabulation	การสร้างเรื่องจากความจำเสื่อม	จิตวิทยา	
confederate	หน้าม้า	จิตวิทยา	
confidentiality	การเก็บรักษาความลับ	จิตวิทยา	
conflict	ความขัดแย้งในใจ	จิตวิทยา	
conflict of interest	ผลประโยชน์ขัดกัน	จิตวิทยา	
conflict of interest	ผลประโยชน์ทับซ้อน	จิตวิทยา	
confluence model	รูปแบบการบรรจบ	จิตวิทยา	
conformity	การคล้อยตาม	จิตวิทยา	
confrontation	การเผชิญหน้า	จิตวิทยา	
confusion	ความสับสน	จิตวิทยา	
congruence	ความจริงใจ	จิตวิทยา	
congruence	ความเป็นวัตถุวิสัย	จิตวิทยา	
congruence	ความกลมกลืน	จิตวิทยา	
conjoint family therapy	การบำบัดร่วมผ่านครอบครัว	จิตวิทยา	
connector	ผู้เชื่อมต่อ	จิตวิทยา	
connotative meaning	ความหมายโดยนัย	จิตวิทยา	
conscience	จิตสำนึก	จิตวิทยา	
consciousness	สติสัมปชัญญะ	จิตวิทยา	
consciousness-raising therapy	การบำบัดเพื่อเพิ่มสติสัมปชัญญะ	จิตวิทยา	
conservation	การอนุรักษ์	จิตวิทยา	
consideration	ลักษณะมุ่งความสัมพันธ์	จิตวิทยา	
consistency	ความสอดคล้อง	จิตวิทยา	
consistency	ความสม่ำเสมอ	จิตวิทยา	
constancy	ความคงที่	จิตวิทยา	
Constitutional Psychology	จิตวิทยาโครงสร้างลักษณะนิสัย	จิตวิทยา	
construct	ภาวะสันนิษฐาน	จิตวิทยา	
construct	โครงสร้าง	จิตวิทยา	
construct validity	ความตรงตามภาวะสันนิษฐาน	จิตวิทยา	
construct validity	ความตรงตามโครงสร้าง	จิตวิทยา	
consultation	การปรึกษาหารือ	จิตวิทยา	
content validity	ความตรงตามเนื้อหา	จิตวิทยา	
contiguity	การเชื่อมโยง	จิตวิทยา	
contingency	เงื่อนไขการเชื่อมโยงของสองเหตุการณ์	จิตวิทยา	
contingency management	การบริหารจัดการเชื่อมโยงของสองเหตุการณ์	จิตวิทยา	
continuity	ความต่อเนื่อง	จิตวิทยา	
contract	ข้อตกลง	จิตวิทยา	
contract	สัญญา	จิตวิทยา	
control belief	ความเชื่อเกี่ยวกับการควบคุม	จิตวิทยา	
controlled processing	การประมวลสารอย่างควบคุม	จิตวิทยา	
conventional arbitration	การอนุญาโตตุลาการแบบประเพณีนิยม	จิตวิทยา	
conversion	การพลิกกลับ	จิตวิทยา	
conversion	การผกผัน	จิตวิทยา	
conversion disorder	โรคคอนเวอร์ชัน	จิตวิทยา	
cooing	การเปล่งเสียงอ้อแอ้	จิตวิทยา	
coping	การเผชิญปัญหา	จิตวิทยา	
coping behavior	พฤติกรรมเผชิญปัญหา	จิตวิทยา	
counselee	ผู้รับบริการปรึกษา	จิตวิทยา	
client	ผู้รับบริการปรึกษา	จิตวิทยา	
counseling	การให้บริการปรึกษา	จิตวิทยา	
counseling psychologist	นักจิตวิทยาการให้บริการปรึกษา	จิตวิทยา	
Counseling Psychology	จิตวิทยาการให้บริการปรึกษา	จิตวิทยา	
counseling technique	เทคนิคการให้บริการปรึกษา	จิตวิทยา	
counselor	ผู้ให้บริการปรึกษา	จิตวิทยา	
counterconditioning	การวางเงื่อนไขตรงกันข้าม	จิตวิทยา	
countertransference	การถ่ายโยงความรู้สึกกลับ	จิตวิทยา	
covariation principle	หลักความแปรผันร่วม	จิตวิทยา	
covert behavior	พฤติกรรมภายใน	จิตวิทยา	
